"N0_7muVerMo","SubjVertMo","QGVertMotion","CombVerMo","AreaMeso_ALS","SatContMoist","RaoContMoist","CombMoisture","AreaMoDryAir","VISCloudCov","IRCloudCover","CombClouds","CldShadeOth","AMInstabMt","InsInMt","WndHodograph","OutflowFrMt","MorningBound","Boundaries","CldShadeConv","CompPlFcst","CapChange","LoLevMoistAd","InsChange","MountainFcst","Date","Scenario","ScenRelAMCIN","MorningCIN","AMCINInScen","CapInScen","ScenRelAMIns","LIfr12ZDENSd","AMDewptCalPl","AMInsWliScen","InsSclInScen","ScenRel3_4","LatestCIN","LLIW","CurPropConv","ScnRelPlFcst","PlainsFcst","N34StarFcst","R5Fcst","Dewpoints","LowLLapse","MeanRH","MidLLapse","MvmtFeatures","RHRatio","SfcWndShfDis","SynForcng","TempDis","WindAloft","WindFieldMt","WindFieldPln"
"Neutral","Neutral","Neutral","Neutral","Neutral","Dry","Wet","VeryWet","VeryWet","PC","Clear","Clear","Clear","Strong","Strong","DCVZFavor","Strong","None","Weak","Some","DecCapIncIns","Decreasing","Negative","Decreasing","SIG","Aug20_Sep15","H","CThruK","PartInhibit","Average","LessThanAve","H","N1GtLIGt_4","Instability","LessUnstable","LessUnstable","HI","PartInhibit","Unfavorable","None","H","XNIL","XNIL","SIG","Other","Stable","Average","Steep","MarkedUpper","DryMMoistL","E_W_N","SigNegative","None","LV","LVorOther","E_NE"
"Neutral","StronUp","WeakUp","WeakUp","WeakUp","Dry","Dry","Neutral","Neutral","PC","PC","Clear","Clear","Strong","Strong","DCVZFavor","Weak","Strong","Strong","Marked","LittleChange","LittleChange","WeakPos","LittleChange","XNIL","Jul16_Aug10","J","CThruK","None","Average","Average","CDEJ","N1GtLIGt_4","Stability","Average","LessUnstable","GJ","None","Moderate","Slight","J","XNIL","XNIL","XNIL","LowEvrywhere","ModerateOrLe","Average","CloseToDryAd","StrongFront","MoistMDryL","DryLine","LittleChange","None","LV","Westerly","LV"
"WeakUp","Neutral","Neutral","Neutral","Neutral","Dry","Dry","VeryWet","VeryWet","PC","Clear","PC","PC","Weak","Strong","StrongWest","Strong","None","Weak","Marked","IncCapDecIns","Increasing","Negative","LittleChange","SIG","Aug11_Aug20","H","CThruK","PartInhibit","MoreThanAve","MoreThanAve","H","N1GtLIGt_4","Stability","Average","LessUnstable","HI","None","Moderate","Slight","H","XNIL","XNIL","SIG","LowMtsHighPl","ModerateOrLe","VeryMoist","ModerateOrLe","MarkedUpper","DryMMoistL","Other","NegToPos","None","NWQuad","LVorOther","E_NE"
"Down","WeakUp","WeakUp","WeakUp","WeakUp","Neutral","VeryWet","VeryWet","Wet","PC","Clear","Clear","Clear","Strong","Strong","StrongWest","Strong","None","Weak","Marked","LittleChange","LittleChange","WeakPos","Decreasing","SIG","Jul2_Jul15","E","CThruK","PartInhibit","Average","Average","CDEJ","N1GtLIGt_4","Neutral","MoreUnstable","Average","ACEFK","PartInhibit","Strong","Moderate","E","SIG","SIG","SIG","LowAtStation","CloseToDryAd","Average","Steep","NoMajor","MoistMDryL","None","NegToPos","None","SWQuad","Westerly","WidespdDnsl"
"Neutral","Down","Neutral","Down","Down","Neutral","Wet","Neutral","Neutral","Clear","Clear","Clear","Clear","None","Weak","Other","Strong","None","Weak","None","DecCapIncIns","Decreasing","WeakPos","Increasing","XNIL","May15_Jun14","A","AB","PartInhibit","Average","LessThanAve","ABI","LILt_8","Neutral","MoreUnstable","MoreUnstable","ACEFK","PartInhibit","Moderate","Slight","A","XNIL","XNIL","XNIL","HighEvrywher","CloseToDryAd","VeryMoist","Steep","MarkedUpper","Other","DenvCyclone","PosToNeg","Other","SWQuad","Westerly","DenvCyclone"
"StrongUp","StronUp","WeakUp","StrongUp","StrongUp","Dry","VeryWet","VeryWet","VeryWet","PC","PC","PC","PC","None","None","Westerly","None","Weak","Weak","None","DecCapIncIns","Decreasing","StrongPos","Increasing","XNIL","Jul2_Jul15","B","AB","Stifling","Average","LessThanAve","ABI","LIGt0","Stability","LessUnstable","MoreUnstable","B","TotalInhibit","Moderate","None","B","SVR","SVR","SVR","HighEvrywher","ModerateOrLe","VeryMoist","CloseToDryAd","NoMajor","Other","DenvCyclone","SigNegative","None","AllElse","LVorOther","E_NE"
"WeakUp","Neutral","StrongUp","WeakUp","WeakUp","Wet","Neutral","Wet","Wet","Cloudy","PC","Cloudy","Cloudy","None","None","StrongWest","None","Weak","Strong","None","LittleChange","LittleChange","Neutral","LittleChange","XNIL","May15_Jun14","B","AB","TotalInhibit","Average","MoreThanAve","ABI","N1GtLIGt_4","Instability","Average","Average","B","None","Weak","Slight","B","XNIL","XNIL","XNIL","HighEvrywher","ModerateOrLe","Average","ModerateOrLe","MarkedUpper","DryMMoistL","DenvCyclone","SigNegative","Other","NWQuad","LVorOther","DenvCyclone"
"Down","Neutral","StrongUp","WeakUp","WeakUp","Wet","Neutral","Neutral","Wet","Cloudy","PC","Cloudy","Cloudy","Strong","Weak","Westerly","Strong","None","Weak","Some","IncCapDecIns","Increasing","StrongPos","Increasing","XNIL","Jul16_Aug10","G","CThruK","PartInhibit","Average","MoreThanAve","G","N1GtLIGt_4","Neutral","Average","MoreUnstable","GJ","PartInhibit","Strong","Moderate","G","SIG","SIG","SIG","LowAtStation","CloseToDryAd","Dry","CloseToDryAd","NoMajor","MoistMDryL","Other","PosToNeg","QStationary","NWQuad","LVorOther","LV"
"Down","Down","Down","Down","Down","Neutral","Dry","Neutral","Dry","Clear","Clear","Clear","Clear","None","None","Other","None","None","None","None","IncCapDecIns","Increasing","Neutral","Increasing","XNIL","May15_Jun14","K","CThruK","PartInhibit","Average","Average","K","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","ACEFK","None","Moderate","Moderate","K","XNIL","SIG","SIG","LowNHighS","ModerateOrLe","Average","CloseToDryAd","MarkedUpper","Other","MovingFtorOt","SigNegative","QStationary","AllElse","Westerly","SEQuad"
"Down","WeakUp","Neutral","Neutral","Neutral","VeryWet","VeryWet","VeryWet","Wet","Clear","Clear","Clear","Clear","None","None","StrongWest","None","Weak","None","None","DecCapIncIns","Decreasing","Neutral","Decreasing","XNIL","Aug20_Sep15","G","CThruK","PartInhibit","Average","LessThanAve","G","N5GtLIGt_8","Stability","Average","LessUnstable","GJ","PartInhibit","Weak","None","G","XNIL","XNIL","XNIL","LowEvrywhere","CloseToDryAd","Dry","CloseToDryAd","MarkedUpper","MoistMDryL","None","SigNegative","None","AllElse","Westerly","LongAnticyc"
"StrongUp","WeakUp","Neutral","Neutral","Neutral","Wet","Neutral","Neutral","Neutral","Clear","PC","PC","PC","Strong","Strong","Westerly","Weak","Weak","Weak","Marked","IncCapDecIns","Increasing","WeakPos","Increasing","SIG","Aug11_Aug20","J","CThruK","PartInhibit","Average","MoreThanAve","CDEJ","N5GtLIGt_8","Neutral","MoreUnstable","MoreUnstable","GJ","Stifling","Moderate","None","J","XNIL","XNIL","SIG","LowNHighS","Steep","Dry","Steep","OtherRapid","Other","None","NegToPos","None","LV","LVorOther","LV"
"StrongUp","Neutral","Neutral","WeakUp","WeakUp","Neutral","Neutral","Neutral","Neutral","Clear","PC","PC","PC","None","Weak","Other","None","None","None","None","DecCapIncIns","Decreasing","Neutral","Increasing","XNIL","Aug20_Sep15","B","AB","None","LessThanAve","LessThanAve","ABI","LIGt0","Instability","LessUnstable","Average","B","None","Strong","Strong","B","SIG","XNIL","XNIL","LowAtStation","Steep","Average","CloseToDryAd","NoMajor","DryMMoistL","None","LittleChange","Other","AllElse","LVorOther","DenvCyclone"
"Down","Down","WeakUp","Down","Down","Neutral","Wet","Wet","Neutral","PC","PC","PC","PC","Strong","Strong","Westerly","Strong","Weak","Strong","Marked","IncCapDecIns","Increasing","Negative","LittleChange","SVR","May15_Jun14","K","CThruK","None","LessThanAve","LessThanAve","K","N1GtLIGt_4","Instability","Average","Average","ACEFK","Stifling","Strong","Strong","K","XNIL","XNIL","SVR","Other","ModerateOrLe","VeryMoist","ModerateOrLe","MarkedUpper","DryMMoistL","E_W_N","SigPositive","Moving","NWQuad","Westerly","WidespdDnsl"
"WeakUp","StronUp","StrongUp","StrongUp","StrongUp","Wet","Neutral","Wet","Wet","Clear","PC","Clear","Clear","Weak","Weak","DCVZFavor","None","None","Weak","Some","LittleChange","LittleChange","Negative","Decreasing","XNIL","Jul16_Aug10","F","CThruK","PartInhibit","Average","Average","F","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","ACEFK","PartInhibit","Weak","None","F","SIG","SIG","SIG","HighEvrywher","ModerateOrLe","VeryMoist","ModerateOrLe","NoMajor","Other","None","LittleChange","None","AllElse","LVorOther","LV"
"WeakUp","Neutral","Neutral","WeakUp","WeakUp","Wet","Wet","Wet","Wet","Cloudy","PC","Cloudy","Cloudy","Weak","Strong","StrongWest","Strong","Weak","Strong","Marked","IncCapDecIns","Increasing","WeakPos","Increasing","SIG","Jul16_Aug10","F","CThruK","PartInhibit","Average","MoreThanAve","F","N5GtLIGt_8","Stability","LessUnstable","Average","ACEFK","None","Moderate","Strong","F","SIG","SIG","SIG","HighEvrywher","ModerateOrLe","VeryMoist","ModerateOrLe","NoMajor","Other","DenvCyclone","NegToPos","QStationary","AllElse","LVorOther","SEQuad"
"Neutral","WeakUp","WeakUp","WeakUp","WeakUp","Dry","Neutral","Neutral","Wet","PC","Cloudy","Cloudy","Cloudy","None","Weak","StrongWest","Strong","None","Weak","Some","LittleChange","LittleChange","WeakPos","LittleChange","XNIL","Jul16_Aug10","H","CThruK","None","LessThanAve","LessThanAve","H","LILt_8","Stability","MoreUnstable","MoreUnstable","HI","Stifling","Strong","Slight","H","SVR","SVR","SVR","LowMtsHighPl","Stable","VeryMoist","ModerateOrLe","MarkedUpper","DryMMoistL","Other","NegToPos","Moving","NWQuad","Westerly","E_NE"
"Down","Neutral","Neutral","Neutral","Neutral","Wet","Dry","Wet","Wet","Clear","Clear","Clear","Clear","None","None","StrongWest","None","None","None","None","DecCapIncIns","Decreasing","Neutral","LittleChange","XNIL","Aug11_Aug20","C","CThruK","Stifling","MoreThanAve","Average","CDEJ","N1GtLIGt_4","Neutral","Average","Average","ACEFK","None","Strong","Strong","C","XNIL","XNIL","XNIL","LowMtsHighPl","Steep","Average","CloseToDryAd","NoMajor","Other","DryLine","SigPositive","None","AllElse","Westerly","LongAnticyc"
"StrongUp","Neutral","Neutral","WeakUp","WeakUp","Neutral","Neutral","Wet","Neutral","Clear","Clear","PC","PC","None","None","Other","None","None","None","None","IncCapDecIns","Increasing","Neutral","LittleChange","XNIL","Jul16_Aug10","F","CThruK","PartInhibit","Average","MoreThanAve","F","N5GtLIGt_8","Stability","Average","Average","ACEFK","PartInhibit","Unfavorable","None","F","XNIL","SVR","SVR","HighEvrywher","ModerateOrLe","VeryMoist","ModerateOrLe","StrongFront","Other","None","LittleChange","None","AllElse","Westerly","LV"
"StrongUp","Neutral","StrongUp","StrongUp","StrongUp","Wet","Neutral","Neutral","Neutral","Clear","Clear","Clear","Cloudy","Weak","Strong","StrongWest","Strong","None","Strong","Marked","DecCapIncIns","Decreasing","Neutral","Decreasing","SIG","Aug11_Aug20","J","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","LIGt0","Stability","LessUnstable","LessUnstable","GJ","None","Weak","Moderate","J","SIG","SIG","SIG","LowSHighN","CloseToDryAd","Average","ModerateOrLe","NoMajor","MoistMDryL","None","LittleChange","QStationary","AllElse","LVorOther","LV"
"Neutral","WeakUp","Down","WeakUp","WeakUp","Neutral","Neutral","Wet","Wet","Cloudy","Clear","PC","Clear","Weak","Strong","DCVZFavor","Weak","None","Weak","Some","LittleChange","LittleChange","Negative","Decreasing","XNIL","Jul16_Aug10","H","CThruK","None","LessThanAve","LessThanAve","H","N1GtLIGt_4","Stability","Average","LessUnstable","HI","PartInhibit","Weak","None","H","XNIL","XNIL","XNIL","LowMtsHighPl","Stable","Average","ModerateOrLe","NoMajor","DryMMoistL","E_W_N","NegToPos","None","AllElse","LVorOther","E_NE"
"StrongUp","Down","Neutral","Neutral","Neutral","Dry","VeryWet","Wet","Wet","Clear","Clear","Clear","Clear","None","None","Westerly","None","Weak","None","None","LittleChange","LittleChange","Negative","LittleChange","XNIL","Jul16_Aug10","I","CThruK","Stifling","MoreThanAve","MoreThanAve","ABI","LIGt0","Stability","LessUnstable","LessUnstable","HI","None","Weak","Slight","I","XNIL","XNIL","XNIL","LowSHighN","Steep","Dry","CloseToDryAd","MarkedUpper","DryMMoistL","DenvCyclone","NegToPos","QStationary","SWQuad","LVorOther","E_NE"
"WeakUp","StronUp","WeakUp","StrongUp","StrongUp","Neutral","VeryWet","Wet","VeryWet","PC","Clear","PC","Cloudy","None","None","DCVZFavor","None","Weak","Weak","None","IncCapDecIns","Increasing","Neutral","Increasing","XNIL","Aug20_Sep15","I","CThruK","Stifling","MoreThanAve","MoreThanAve","ABI","N1GtLIGt_4","Instability","LessUnstable","Average","HI","None","Unfavorable","Slight","I","XNIL","XNIL","XNIL","LowMtsHighPl","Steep","Average","CloseToDryAd","StrongFront","DryMMoistL","E_W_S","SigNegative","Moving","SWQuad","LVorOther","E_NE"
"StrongUp","Down","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Cloudy","Cloudy","Cloudy","Cloudy","Weak","Strong","DCVZFavor","Weak","Strong","Weak","Marked","IncCapDecIns","Increasing","WeakPos","Increasing","SVR","Jul16_Aug10","G","CThruK","Stifling","Average","Average","G","N1GtLIGt_4","Instability","Average","MoreUnstable","GJ","None","Weak","Slight","G","XNIL","XNIL","SVR","LowEvrywhere","CloseToDryAd","Dry","CloseToDryAd","MarkedUpper","Other","E_W_S","LittleChange","None","SWQuad","Westerly","LongAnticyc"
"WeakUp","StronUp","Down","Neutral","Neutral","Wet","Dry","Wet","Wet","Clear","PC","Clear","Clear","Strong","Strong","DCVZFavor","Strong","Strong","Strong","Marked","IncCapDecIns","Increasing","WeakPos","Increasing","SVR","May15_Jun14","K","CThruK","PartInhibit","Average","Average","K","LILt_8","Neutral","Average","MoreUnstable","ACEFK","None","Moderate","Strong","K","XNIL","XNIL","SVR","HighEvrywher","Steep","Average","ModerateOrLe","StrongFront","Other","DenvCyclone","SigPositive","Moving","NWQuad","Westerly","SEQuad"
"StrongUp","StronUp","WeakUp","StrongUp","StrongUp","Neutral","Dry","Neutral","Wet","Cloudy","PC","PC","PC","Weak","Strong","Other","Weak","Weak","Weak","Some","DecCapIncIns","Decreasing","WeakPos","Decreasing","SVR","Aug20_Sep15","E","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","N1GtLIGt_4","Instability","MoreUnstable","Average","ACEFK","PartInhibit","Strong","Strong","E","XNIL","XNIL","SVR","LowAtStation","ModerateOrLe","Average","Steep","NoMajor","MoistMDryL","E_W_N","NegToPos","None","SWQuad","LVorOther","LongAnticyc"
"StrongUp","Down","StrongUp","WeakUp","WeakUp","Neutral","Neutral","Neutral","Neutral","Cloudy","Clear","Cloudy","Cloudy","None","None","StrongWest","None","Weak","None","None","LittleChange","LittleChange","Neutral","LittleChange","XNIL","May15_Jun14","G","CThruK","PartInhibit","Average","Average","G","N1GtLIGt_4","Stability","Average","LessUnstable","GJ","PartInhibit","Weak","Moderate","G","XNIL","SIG","SIG","LowAtStation","CloseToDryAd","Dry","CloseToDryAd","NoMajor","MoistMDryL","None","LittleChange","None","SWQuad","Westerly","LV"
"StrongUp","WeakUp","WeakUp","StrongUp","StrongUp","VeryWet","Dry","Dry","Neutral","Clear","Clear","Clear","PC","None","None","Westerly","None","None","None","None","DecCapIncIns","Decreasing","Neutral","Decreasing","XNIL","Aug20_Sep15","F","CThruK","Stifling","Average","LessThanAve","F","N1GtLIGt_4","Stability","Average","LessUnstable","ACEFK","None","Strong","Moderate","F","XNIL","XNIL","XNIL","HighEvrywher","ModerateOrLe","VeryMoist","ModerateOrLe","NoMajor","Other","None","SigNegative","Moving","LV","LVorOther","E_NE"
"WeakUp","Neutral","StrongUp","WeakUp","WeakUp","Wet","Dry","Dry","Dry","PC","PC","Clear","Clear","Weak","Strong","StrongWest","Strong","Strong","Strong","Marked","LittleChange","LittleChange","Negative","Decreasing","SVR","Aug20_Sep15","B","AB","PartInhibit","LessThanAve","LessThanAve","ABI","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","B","PartInhibit","Moderate","None","B","SIG","SIG","SVR","LowSHighN","Steep","VeryMoist","Steep","NoMajor","DryMMoistL","DenvCyclone","SigPositive","Other","AllElse","Westerly","SEQuad"
"Down","WeakUp","WeakUp","Neutral","Neutral","Neutral","Dry","Dry","Dry","Cloudy","PC","Cloudy","Cloudy","Weak","Strong","Other","Weak","None","Weak","Some","DecCapIncIns","Decreasing","StrongPos","Decreasing","XNIL","Jul2_Jul15","G","CThruK","Stifling","MoreThanAve","MoreThanAve","G","N1GtLIGt_4","Stability","Average","Average","GJ","None","Moderate","Moderate","G","SIG","SIG","SIG","LowEvrywhere","CloseToDryAd","Dry","CloseToDryAd","StrongFront","MoistMDryL","None","LittleChange","None","SWQuad","Westerly","LV"
"WeakUp","StronUp","Down","Neutral","Neutral","Neutral","Dry","Neutral","Neutral","Clear","PC","Clear","Clear","Weak","Strong","StrongWest","Strong","Weak","Strong","Marked","LittleChange","LittleChange","WeakPos","Decreasing","SIG","May15_Jun14","B","AB","PartInhibit","Average","Average","ABI","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","B","PartInhibit","Moderate","Moderate","B","SIG","SIG","SIG","LowMtsHighPl","ModerateOrLe","VeryMoist","Steep","NoMajor","DryMMoistL","DenvCyclone","PosToNeg","None","AllElse","LVorOther","SEQuad"
"WeakUp","Neutral","WeakUp","WeakUp","WeakUp","VeryWet","Wet","Neutral","Neutral","Clear","PC","PC","Clear","Weak","Weak","StrongWest","Strong","Weak","Weak","Some","DecCapIncIns","Decreasing","Negative","Decreasing","SIG","Jul2_Jul15","H","CThruK","None","LessThanAve","LessThanAve","H","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","HI","Stifling","Weak","Slight","H","XNIL","XNIL","SIG","LowSHighN","ModerateOrLe","VeryMoist","ModerateOrLe","MarkedUpper","Other","None","SigNegative","None","NWQuad","Westerly","SEQuad"
"Down","StronUp","Neutral","Neutral","Neutral","Dry","Wet","Neutral","Neutral","Clear","PC","Clear","Clear","Strong","Strong","DCVZFavor","Strong","None","Strong","Marked","LittleChange","LittleChange","StrongPos","LittleChange","SIG","Jul2_Jul15","E","CThruK","None","Average","MoreThanAve","CDEJ","LIGt0","Stability","Average","MoreUnstable","ACEFK","PartInhibit","Moderate","Slight","E","XNIL","XNIL","SIG","LowNHighS","CloseToDryAd","Average","Steep","NoMajor","MoistMDryL","MovingFtorOt","LittleChange","None","SWQuad","Westerly","LV"
"StrongUp","WeakUp","Neutral","StrongUp","StrongUp","Dry","Neutral","Wet","VeryWet","PC","Cloudy","Cloudy","Cloudy","Strong","Weak","Other","Weak","Strong","Weak","None","DecCapIncIns","Decreasing","Neutral","LittleChange","SIG","Aug20_Sep15","I","CThruK","PartInhibit","LessThanAve","LessThanAve","ABI","N1GtLIGt_4","Stability","Average","Average","HI","PartInhibit","Moderate","Slight","I","XNIL","XNIL","SIG","LowSHighN","Steep","Average","Steep","NoMajor","DryMMoistL","MovingFtorOt","SigPositive","QStationary","SWQuad","Westerly","LV"
"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Wet","VeryWet","Wet","PC","Clear","PC","PC","Strong","Strong","StrongWest","Strong","None","Weak","Marked","IncCapDecIns","Increasing","Neutral","Decreasing","SIG","May15_Jun14","G","CThruK","Stifling","MoreThanAve","MoreThanAve","G","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","GJ","PartInhibit","Moderate","Slight","G","XNIL","XNIL","SIG","LowAtStation","CloseToDryAd","Dry","CloseToDryAd","NoMajor","MoistMDryL","DryLine","NegToPos","Moving","AllElse","Westerly","WidespdDnsl"
"StrongUp","StronUp","Neutral","StrongUp","StrongUp","Neutral","Dry","Neutral","Wet","Clear","Clear","Clear","Clear","None","None","Westerly","None","Weak","None","None","DecCapIncIns","Decreasing","WeakPos","Decreasing","XNIL","Jun15_Jul1","J","CThruK","PartInhibit","Average","Average","CDEJ","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","GJ","None","Moderate","Strong","J","XNIL","XNIL","XNIL","LowMtsHighPl","Steep","VeryMoist","Steep","NoMajor","MoistMDryL","E_W_N","LittleChange","None","LV","LVorOther","LV"
"Down","Neutral","Neutral","Down","Down","Dry","VeryWet","VeryWet","Wet","PC","PC","PC","PC","Weak","Strong","DCVZFavor","Weak","Weak","Weak","Marked","LittleChange","LittleChange","Neutral","LittleChange","SIG","Jul2_Jul15","E","CThruK","PartInhibit","MoreThanAve","MoreThanAve","CDEJ","N1GtLIGt_4","Stability","Average","Average","ACEFK","Stifling","Weak","Slight","E","SVR","SVR","SVR","LowNHighS","CloseToDryAd","Average","Steep","NoMajor","MoistMDryL","DenvCyclone","PosToNeg","Moving","SWQuad","Westerly","SEQuad"
"StrongUp","Down","Neutral","Neutral","Neutral","Dry","Dry","Wet","Wet","Cloudy","Cloudy","Cloudy","Cloudy","Weak","Weak","DCVZFavor","Weak","Weak","Weak","Some","LittleChange","LittleChange","Negative","LittleChange","SIG","May15_Jun14","K","CThruK","PartInhibit","Average","Average","K","N5GtLIGt_8","Stability","Average","Average","ACEFK","None","Weak","Slight","K","XNIL","XNIL","SIG","HighEvrywher","Steep","Dry","Steep","MarkedUpper","DryMMoistL","MovingFtorOt","SigPositive","Other","SWQuad","LVorOther","WidespdDnsl"
"StrongUp","Down","Neutral","StrongUp","StrongUp","Dry","Wet","VeryWet","VeryWet","PC","PC","PC","Cloudy","None","None","DCVZFavor","None","Weak","Weak","None","IncCapDecIns","Increasing","StrongPos","Increasing","XNIL","Jun15_Jul1","G","CThruK","PartInhibit","LessThanAve","MoreThanAve","G","N5GtLIGt_8","Stability","MoreUnstable","MoreUnstable","GJ","PartInhibit","Weak","None","G","XNIL","SIG","SIG","LowSHighN","CloseToDryAd","Dry","CloseToDryAd","NoMajor","MoistMDryL","E_W_S","SigNegative","None","NWQuad","Westerly","WidespdDnsl"
"WeakUp","WeakUp","WeakUp","WeakUp","WeakUp","Neutral","Dry","Dry","Neutral","Cloudy","Clear","PC","PC","Weak","Strong","StrongWest","None","None","Weak","Marked","IncCapDecIns","Increasing","Negative","LittleChange","XNIL","Aug20_Sep15","E","CThruK","PartInhibit","MoreThanAve","MoreThanAve","CDEJ","LIGt0","Instability","LessUnstable","LessUnstable","ACEFK","PartInhibit","Strong","Strong","E","XNIL","XNIL","XNIL","LowEvrywhere","CloseToDryAd","Dry","Steep","NoMajor","MoistMDryL","MovingFtorOt","LittleChange","QStationary","AllElse","LVorOther","LongAnticyc"
"WeakUp","StronUp","Down","WeakUp","WeakUp","Neutral","VeryWet","Wet","VeryWet","Clear","PC","PC","PC","Strong","Strong","StrongWest","Strong","None","Weak","Marked","IncCapDecIns","Increasing","Neutral","LittleChange","SIG","Jun15_Jul1","J","CThruK","PartInhibit","Average","Average","CDEJ","N5GtLIGt_8","Stability","Average","Average","GJ","PartInhibit","Moderate","Slight","J","XNIL","XNIL","SIG","LowMtsHighPl","Steep","Average","CloseToDryAd","NoMajor","DryMMoistL","DryLine","LittleChange","Other","LV","LVorOther","SEQuad"
"StrongUp","Down","Neutral","Neutral","Neutral","VeryWet","VeryWet","VeryWet","VeryWet","PC","PC","PC","PC","Weak","Strong","Other","Weak","Weak","Strong","Some","IncCapDecIns","Increasing","Neutral","Decreasing","SIG","Jul16_Aug10","E","CThruK","PartInhibit","Average","MoreThanAve","CDEJ","N5GtLIGt_8","Neutral","MoreUnstable","Average","ACEFK","None","Weak","Slight","E","XNIL","XNIL","SIG","LowMtsHighPl","CloseToDryAd","Dry","ModerateOrLe","NoMajor","MoistMDryL","None","LittleChange","None","AllElse","Westerly","LongAnticyc"
"Neutral","StronUp","Down","WeakUp","WeakUp","Dry","Neutral","Dry","Neutral","Clear","Clear","Clear","Clear","Strong","Strong","DCVZFavor","Strong","Strong","Strong","Marked","IncCapDecIns","Increasing","StrongPos","Increasing","SVR","Jul2_Jul15","E","CThruK","PartInhibit","Average","MoreThanAve","CDEJ","N5GtLIGt_8","Neutral","MoreUnstable","MoreUnstable","ACEFK","PartInhibit","Unfavorable","None","E","XNIL","XNIL","SVR","LowSHighN","Steep","Average","ModerateOrLe","NoMajor","MoistMDryL","None","PosToNeg","Other","SWQuad","LVorOther","LV"
"StrongUp","Neutral","WeakUp","WeakUp","WeakUp","VeryWet","Wet","Wet","Neutral","PC","PC","PC","PC","None","Weak","DCVZFavor","Strong","Weak","Strong","None","LittleChange","LittleChange","Neutral","LittleChange","XNIL","Jun15_Jul1","I","CThruK","PartInhibit","Average","Average","ABI","N1GtLIGt_4","Instability","Average","Average","HI","Stifling","Strong","Moderate","I","SVR","SVR","SVR","LowSHighN","Steep","VeryMoist","CloseToDryAd","OtherRapid","DryMMoistL","DryLine","LittleChange","QStationary","LV","LVorOther","DenvCyclone"
"WeakUp","StronUp","Neutral","WeakUp","WeakUp","VeryWet","Neutral","Wet","Wet","PC","Clear","Clear","Clear","None","None","Westerly","None","None","Strong","None","LittleChange","LittleChange","Negative","LittleChange","XNIL","Jul16_Aug10","E","CThruK","None","LessThanAve","LessThanAve","CDEJ","N1GtLIGt_4","Neutral","Average","Average","ACEFK","Stifling","Weak","Moderate","E","SVR","SVR","SVR","LowSHighN","CloseToDryAd","Average","ModerateOrLe","NoMajor","MoistMDryL","None","SigNegative","None","LV","Westerly","WidespdDnsl"
"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","VeryWet","Neutral","Neutral","PC","PC","PC","PC","Weak","Strong","Westerly","Weak","Weak","Weak","Marked","LittleChange","LittleChange","WeakPos","Decreasing","SIG","Aug20_Sep15","E","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","ACEFK","None","Weak","Slight","E","XNIL","XNIL","SIG","LowAtStation","CloseToDryAd","Dry","Steep","NoMajor","MoistMDryL","None","LittleChange","None","SWQuad","Westerly","SEQuad"
"Neutral","WeakUp","Down","Neutral","Neutral","Neutral","Dry","Wet","Wet","Clear","PC","PC","PC","Strong","Strong","Other","Weak","Weak","None","None","IncCapDecIns","Increasing","Negative","Decreasing","SIG","Jul16_Aug10","J","CThruK","PartInhibit","Average","MoreThanAve","CDEJ","LILt_8","Neutral","MoreUnstable","LessUnstable","GJ","TotalInhibit","Moderate","Moderate","J","XNIL","XNIL","SIG","LowAtStation","ModerateOrLe","Average","ModerateOrLe","NoMajor","MoistMDryL","DryLine","LittleChange","None","LV","LVorOther","LV"
"Down","StronUp","Down","WeakUp","WeakUp","Wet","Neutral","Neutral","Neutral","PC","PC","PC","PC","Weak","Strong","StrongWest","Strong","Strong","Strong","Marked","IncCapDecIns","Increasing","Neutral","LittleChange","SIG","Jul2_Jul15","E","CThruK","Stifling","MoreThanAve","MoreThanAve","CDEJ","LILt_8","Instability","MoreUnstable","Average","ACEFK","None","Moderate","Strong","E","XNIL","XNIL","SIG","HighEvrywher","Steep","Average","ModerateOrLe","OtherRapid","MoistMDryL","None","SigPositive","None","SWQuad","Westerly","LongAnticyc"
